age,salary,years_experience,score
56.00,92363.05,15.00,65.83
46.00,66932.79,25.00,70.58
32.00,66760.43,1.00,58.07
60.00,103036.61,0.00,35.64
25.00,57115.87,11.00,54.67
38.00,73970.45,4.00,60.95
56.00,77036.65,36.00,102.35
36.00,64880.12,31.00,89.63
40.00,84689.41,8.00,62.68
28.00,46761.02,34.00,96.91
28.00,67500.05,18.00,95.90
41.00,88265.16,15.00,65.74
53.00,87578.85,2.00,43.87
57.00,70157.13,19.00,73.95
41.00,74268.45,23.00,80.37
20.00,49188.81,32.00,103.96
39.00,73677.95,23.00,64.58
19.00,56361.22,10.00,69.26
41.00,63202.98,7.00,55.09
61.00,82561.04,35.00,110.27
47.00,75494.66,37.00,105.02
55.00,75344.42,39.00,113.69
19.00,50504.89,19.00,74.59
38.00,66865.79,34.00,105.38
50.00,106335.28,24.00,102.64
29.00,48749.09,34.00,93.61
39.00,61179.52,24.00,84.93
61.00,95239.43,28.00,87.14
42.00,80727.05,17.00,91.43
44.00,96872.26,17.00,71.16
59.00,105229.20,1.00,44.17
45.00,83237.33,34.00,95.22
33.00,65930.59,15.00,71.14
32.00,70966.30,35.00,94.56
64.00,87896.78,32.00,94.32
61.00,87838.34,3.00,56.07
20.00,35175.76,32.00,96.85
54.00,81711.52,13.00,77.82
24.00,63626.41,20.00,76.81
38.00,65903.08,19.00,76.45
26.00,48259.57,7.00,63.21
56.00,82402.22,6.00,81.45
35.00,72240.83,2.00,45.12
21.00,48442.35,16.00,93.24
42.00,80499.21,32.00,86.16
31.00,47886.76,11.00,68.79
26.00,47296.95,21.00,78.11
43.00,67933.57,21.00,73.35
19.00,35900.49,29.00,100.49
37.00,96436.63,37.00,111.50
45.00,64037.34,37.00,100.69
64.00,103148.84,7.00,39.56
24.00,47339.39,26.00,84.80
61.00,85862.13,26.00,90.39
25.00,58013.23,33.00,99.52
64.00,79414.83,20.00,87.56
52.00,75372.62,29.00,112.84
31.00,59535.27,32.00,102.14
34.00,55539.83,27.00,96.18
53.00,74775.11,32.00,99.48
57.00,97867.27,4.00,67.72
21.00,61049.87,18.00,82.31
19.00,44582.34,3.00,61.99
23.00,52158.35,34.00,119.09
59.00,101370.16,16.00,76.27
21.00,36735.21,27.00,87.79
46.00,79380.23,29.00,97.96
35.00,84745.71,28.00,103.36
43.00,92650.35,5.00,62.51
61.00,71600.89,34.00,111.61
51.00,73373.73,36.00,97.31
27.00,58686.59,23.00,75.82
53.00,69781.23,28.00,86.55
31.00,54317.53,30.00,82.33
48.00,76627.09,34.00,102.10
32.00,76013.22,32.00,93.70
25.00,54545.97,20.00,92.30
31.00,63169.37,31.00,83.59
40.00,75124.24,22.00,98.55
57.00,92434.89,32.00,88.19
38.00,68280.99,2.00,40.62
33.00,51029.13,17.00,67.25
62.00,99896.73,24.00,105.51
35.00,69314.89,30.00,94.60
64.00,83032.48,2.00,58.29
41.00,64176.98,39.00,106.66
43.00,81875.12,23.00,83.60
42.00,78054.83,31.00,91.44
62.00,84797.02,21.00,82.01
58.00,85300.66,22.00,87.95
46.00,74565.38,1.00,68.28
32.00,68170.04,26.00,70.26
62.00,104489.41,1.00,67.61
18.00,48656.49,25.00,92.78
42.00,83692.08,16.00,70.32
24.00,62733.17,39.00,103.02
26.00,58056.50,32.00,108.44
41.00,56565.17,8.00,64.29
18.00,37722.89,38.00,91.66
61.00,98412.41,28.00,95.63
